iter	Passed	Remaining
142	505	3031
143	508	3023
144	510	3010
145	512	2996
146	514	2987
147	516	2973
148	519	2969
149	521	2956
150	528	2969
151	529	2954
152	531	2941
153	533	2929
154	535	2921
155	538	2911
156	552	2966
157	553	2952
158	555	2939
159	558	2933
160	560	2922
161	563	2914
162	565	2905
163	570	2906
164	572	2896
165	574	2888
166	576	2876
167	578	2867
168	581	2857
169	583	2847
170	584	2835
171	586	2824
172	589	2815
173	591	2810
174	594	2803
175	618	2896
176	621	2888
177	623	2879
178	625	2868
179	627	2858
180	630	2852
181	632	2841
182	634	2832
183	636	2822
184	638	2813
185	640	2804
186	643	2796
187	646	2790
188	647	2779
189	649	2769
190	651	2759
191	653	2748
192	654	2738
193	656	2729
194	658	2720
195	660	2710
196	663	2703
197	664	2693
198	666	2683
199	668	2675
200	670	2665
201	672	2657
202	674	2649
203	677	2642
204	681	2643
205	683	2634
206	685	2625
207	687	2616
208	689	2608
209	690	2598
210	692	2588
211	694	2582
212	696	2572
213	698	2564
214	700	2557
215	701	2547
216	708	2556
217	710	2548
218	712	2539
219	714	2534
220	716	2525
221	718	2516
222	719	2507
223	721	2498
224	722	2489
225	724	2480
226	727	2477
227	729	2469
228	730	2460
229	733	2454
230	734	2446
231	736	2437
232	739	2435
233	741	2427
234	746	2431
235	748	2423
236	750	2417
237	752	2409
238	754	2402
239	756	2394
240	758	2387
241	759	2380
242	761	2372
243	763	2364
244	767	2366
245	769	2359
246	772	2355
247	774	2349
248	785	2368
249	787	2362
250	790	2357
251	792	2351
252	794	2345
253	796	2340
254	799	2334
255	802	2331
256	806	2332
257	809	2326
258	813	2327
259	815	2320
260	816	2312
261	820	2312
262	822	2305
263	824	2299
264	827	2294
265	831	2295
266	835	2294
267	841	2299
268	844	2295
269	848	2293
270	850	2286
271	857	2294
272	860	2290
273	862	2286
274	865	2281
275	867	2276
276	869	2270
277	871	2263
278	874	2259
279	876	2255
280	878	2248
281	880	2241
282	882	2236
283	884	2230
284	888	2228
285	903	2255
286	906	2251
287	907	2244
288	909	2237
289	911	2232
290	913	2225
291	915	2220
292	917	2213
293	920	2211
294	923	2206
295	925	2200
296	926	2194
297	928	2187
298	930	2181
299	932	2174
300	934	2169
301	935	2163
302	937	2156
303	939	2150
304	940	2144
305	942	2138
306	953	2151
307	955	2146
308	956	2139
309	958	2134
310	960	2128
311	963	2124
312	965	2119
313	968	2115
314	969	2109
315	977	2115
316	980	2111
317	982	2107
318	989	2112
319	991	2107
320	1001	2118
321	1003	2112
322	1005	2106
323	1006	2100
324	1009	2097
325	1011	2091
326	1013	2085
327	1014	2078
328	1016	2072
329	1017	2066
330	1019	2060
331	1021	2054
332	1023	2049
333	1024	2043
334	1027	2040
335	1029	2034
336	1031	2029
337	1035	2027
338	1038	2024
339	1040	2019
340	1046	2021
341	1048	2016
342	1049	2010
343	1051	2005
344	1053	1999
345	1055	1995
346	1059	1993
347	1064	1995
348	1066	1989
349	1068	1984
350	1072	1982
351	1073	1976
352	1075	1970
353	1078	1967
354	1088	1977
355	1092	1975
356	1094	1970
357	1095	1965
358	1101	1966
359	1102	1960
360	1104	1954
361	1106	1949
362	1107	1943
363	1109	1938
364	1112	1934
365	1120	1941
366	1122	1936
367	1126	1934
368	1127	1928
369	1129	1923
370	1130	1917
371	1132	1912
372	1134	1907
373	1136	1902
374	1138	1896
375	1139	1891
376	1152	1905
377	1155	1901
378	1157	1895
379	1158	1890
380	1163	1890
381	1165	1885
382	1167	1881
383	1169	1875
384	1171	1871
385	1173	1866
386	1176	1863
387	1179	1859
388	1180	1854
389	1183	1850
390	1186	1847
391	1187	1842
392	1189	1837
393	1193	1835
394	1194	1830
395	1196	1824
396	1199	1821
397	1200	1816
398	1202	1811
399	1204	1806
400	1206	1802
401	1208	1798
402	1210	1793
403	1212	1789
404	1214	1784
405	1215	1778
406	1217	1774
407	1219	1769
408	1222	1765
409	1224	1762
410	1226	1757
411	1228	1752
412	1230	1748
413	1232	1744
414	1234	1740
415	1236	1735
416	1238	1731
417	1240	1727
418	1242	1722
419	1244	1718
420	1246	1714
421	1248	1709
422	1251	1706
423	1254	1704
424	1256	1700
425	1258	1695
426	1260	1691
427	1262	1687
428	1263	1682
429	1265	1678
430	1267	1673
431	1269	1669
432	1272	1665
433	1273	1661
434	1275	1656
435	1278	1653
436	1280	1649
437	1281	1644
